"time","precision","location"
"2024-12-20 22:05:20",4.5,"37.5531181,-3.637359"
"2024-12-20 22:14:57",0.0,"37.5531045,-3.637369"
"2024-12-20 22:14:59,4.5,"37.5531123,-3.637358"
"2024-12-20 22:22:59",4.5,"37.5531067,-3.637375"
"2024-12-20 22:26:44",4.5,"37.5531099, -3.63737"
"2024-12-20 22:37:45",11.8,"37.5531004,-3.637361"
"2024-12-20 22:37:46",11.8,"37.5599058,-3.6298000"
